seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate,rouge_l_recall
7,control,2,0.051366,-2.0297,0.8375,0.075,0.1254
7,control,3,0.076654,-1.8988,0.8375,0.0625,0.1019
7,control,4,0.093758,-1.9418,0.9125,0.0625,0.0674
7,control,5,0.133175,-2.12,0.825,0.0625,0.0596
7,control,6,0.18534,-2.1451,0.5,0.0375,0.0494
7,control,7,0.247275,-1.9807,0.9,0.05,0.0502
7,control,8,0.305822,-1.7521,0.9375,0.0875,0.0502
7,control,9,0.348229,-1.5256,0.9,0.0875,0.0525
7,control,10,0.366206,-1.3475,0.8875,0.0625,0.0564
7,oea_rag_only,0,0.0,-1.5864,0.6875,0.025,0.1755
7,oea_rag_only,1,0.027435,-2.0224,0.6125,0.025,0.156
7,oea_rag_only,2,0.042875,-1.9078,0.8125,0.05,0.1262
7,oea_rag_only,3,0.058811,-1.6009,0.8375,0.1,0.0956
7,oea_rag_only,4,0.079351,-1.5772,0.9,0.1,0.0588
7,oea_rag_only,5,0.116496,-1.524,0.825,0.05,0.0564
7,oea_rag_only,6,0.156469,-1.8085,0.8625,0.1125,0.0509
7,oea_rag_only,7,0.211157,-1.859,0.85,0.1,0.0541
7,oea_rag_only,8,0.26276,-1.9637,0.825,0.1125,0.0541
7,oea_rag_only,9,0.298814,-2.0068,0.8625,0.1125,0.058
7,oea_rag_only,10,0.319821,-2.1129,0.8375,0.025,0.0572
7,oea_anchored,0,0.0,-1.5864,0.6875,0.025,0.1755
7,oea_anchored,1,0.00516,-2.3565,0.45,0.0,0.1685
7,oea_anchored,2,0.024763,-2.2326,0.8375,0.1,0.1528
7,oea_anchored,3,0.050966,-1.793,0.8375,0.1,0.1324
7,oea_anchored,4,0.074798,-1.3816,0.7875,0.1,0.1034
7,oea_anchored,5,0.097789,-0.7223,0.8375,0.1,0.0823
7,oea_anchored,6,0.163641,-0.52,0.7875,0.1,0.0823
7,oea_anchored,7,0.24027,-0.5381,0.8375,0.1,0.0823
7,oea_anchored,8,0.32146,-0.52,0.7875,0.1,0.0823
7,oea_anchored,9,0.408543,-0.5781,0.825,0.05,0.0823
7,oea_anchored,10,0.441555,-0.6183,0.85,0.1,0.0831
7,oea_miscalibrated,0,0.0,-1.5864,0.6875,0.025,0.1755
7,oea_miscalibrated,1,0.027435,-2.0224,0.6125,0.025,0.156
7,oea_miscalibrated,2,0.040435,-2.0299,0.1625,0.0125,0.1371
7,oea_miscalibrated,3,0.07005,-1.8611,0.825,0.05,0.1082
7,oea_miscalibrated,4,0.086739,-1.9582,0.2,0.0,0.0925
7,oea_miscalibrated,5,0.099817,-2.0722,0.2125,0.0,0.0776
7,oea_miscalibrated,6,0.127577,-2.2748,0.8625,0.0875,0.058
7,oea_miscalibrated,7,0.17894,-2.2799,0.75,0.0625,0.0549
7,oea_miscalibrated,8,0.243906,-2.2619,0.7875,0.0375,0.0525
7,oea_miscalibrated,9,0.306129,-2.3617,0.725,0.05,0.0556
7,oea_miscalibrated,10,0.366053,-2.3534,0.775,0.05,0.0556
8,control,0,0.0,-1.5864,0.6875,0.025,0.1755
8,control,1,0.037873,-1.9416,0.85,0.0875,0.1536
8,control,2,0.063813,-1.9329,0.825,0.0875,0.1254
8,control,3,0.088185,-1.6919,0.7,0.0625,0.098
8,control,4,0.108834,-1.6181,0.9,0.0625,0.0603
8,control,5,0.159119,-1.5236,0.8875,0.1125,0.0486
8,control,6,0.226554,-1.4669,0.6125,0.125,0.0447
8,control,7,0.304224,-1.3862,0.8625,0.1,0.0376
8,control,8,0.378498,-1.2133,0.3875,0.0375,0.0361
8,control,9,0.439463,-1.0156,0.7375,0.1,0.0361
8,control,10,0.464728,-0.7368,0.4625,0.025,0.0313
8,oea_rag_only,0,0.0,-1.5864,0.6875,0.025,0.1755
8,oea_rag_only,1,0.056456,-1.7319,0.3875,0.0,0.1442
8,oea_rag_only,2,0.098804,-1.543,0.1125,0.0625,0.1121
8,oea_rag_only,3,0.14385,-0.9296,0.425,0.0625,0.0752
8,oea_rag_only,4,0.181906,-0.6625,0.35,0.0625,0.0361
8,oea_rag_only,5,0.241198,-0.5999,0.3,0.05,0.0125
8,oea_rag_only,6,0.339856,-0.6606,0.2625,0.05,0.0086
8,oea_rag_only,7,0.441552,-0.3166,0.3375,0.0875,0.0086
8,oea_rag_only,8,0.555747,-0.3159,0.1125,0.075,0.0086
8,oea_rag_only,9,0.645626,-0.3089,0.425,0.075,0.0086
8,oea_rag_only,10,0.663952,-0.2319,0.1875,0.1125,0.0078
8,oea_anchored,0,0.0,-1.5864,0.6875,0.025,0.1755
8,oea_anchored,1,0.002075,-2.2214,0.95,0.1125,0.1708
8,oea_anchored,2,0.021034,-1.9329,0.8,0.0875,0.152
8,oea_anchored,3,0.048385,-1.5472,0.8,0.0375,0.1246
8,oea_anchored,4,0.074272,-0.9151,0.7125,0.05,0.0948
8,oea_anchored,5,0.097255,-0.5844,0.8,0.05,0.0674
8,oea_anchored,6,0.162661,-0.3271,0.7625,0.0375,0.0666
8,oea_anchored,7,0.249406,-0.3475,0.8375,0.0875,0.0666
8,oea_anchored,8,0.336446,-0.2758,0.7125,0.0875,0.0674
8,oea_anchored,9,0.444167,-0.3468,0.775,0.0125,0.0674
8,oea_anchored,10,0.463981,-0.2364,0.7375,0.0625,0.0666
8,oea_miscalibrated,0,0.0,-1.5864,0.6875,0.025,0.1755
8,oea_miscalibrated,1,0.054433,-2.0129,0.95,0.05,0.145
8,oea_miscalibrated,2,0.087775,-1.984,0.7,0.075,0.1183
8,oea_miscalibrated,3,0.112674,-1.6922,0.7375,0.025,0.0956
