seed,variant,iteration,stability,mean_log_prob,stability_jsd,true_reject_rate,false_reject_rate
4,rag_only,5,0.097855,-4.964382,0.412089,0.59008,0.23424
4,rag_only,6,0.105178,-4.988113,0.413165,0.59008,0.23424
4,rag_only,7,0.0875,-4.990033,0.400581,0.59008,0.23424
4,rag_only,8,0.1125,-5.026656,0.398239,0.59008,0.23424
4,rag_only,9,0.0625,-4.938998,0.389763,0.59008,0.23424
4,rag_only,10,0.0625,-4.904154,0.40215,0.59008,0.23424
5,oea_full,0,0.9875,-6.098058,0.516116,0.74632,0.14496
5,oea_full,1,0.240533,-5.993,0.462469,0.74632,0.14496
5,oea_full,2,0.189328,-6.036551,0.469399,0.74632,0.14496
5,oea_full,3,0.092678,-5.966973,0.443713,0.74632,0.14496
5,oea_full,4,0.092678,-6.028093,0.514895,0.74632,0.14496
5,oea_full,5,0.132006,-5.941812,0.476254,0.74632,0.14496
5,oea_full,6,0.165533,-5.932351,0.501779,0.74632,0.14496
5,oea_full,7,0.117678,-6.041198,0.498228,0.74632,0.14496
5,oea_full,8,0.185355,-6.053674,0.478239,0.74632,0.14496
5,oea_full,9,0.15,-5.960063,0.475452,0.74632,0.14496
5,oea_full,10,0.105178,-5.970702,0.477551,0.74632,0.14496
5,temperature_low,0,0.9875,-6.098058,0.516116,0.6052,0.2256
5,temperature_low,1,0.139328,-5.385948,0.44309,0.6052,0.2256
5,temperature_low,2,0.197855,-5.085554,0.416327,0.6052,0.2256
5,temperature_low,3,0.215533,-5.133329,0.404299,0.6052,0.2256
5,temperature_low,4,0.142678,-5.467148,0.480279,0.6052,0.2256
5,temperature_low,5,0.075,-5.734507,0.496997,0.6052,0.2256
5,temperature_low,6,0.155178,-5.456349,0.425245,0.6052,0.2256
5,temperature_low,7,0.122855,-5.464621,0.441948,0.6052,0.2256
5,temperature_low,8,0.204861,-5.193784,0.428233,0.6052,0.2256
5,temperature_low,9,0.163388,-5.159816,0.4102,0.6052,0.2256
5,temperature_low,10,0.153033,-5.232328,0.415084,0.6052,0.2256
5,top_k,0,0.9875,-6.098058,0.516116,0.6052,0.2256
5,top_k,1,0.238388,-5.995924,0.468164,0.6052,0.2256
5,top_k,2,0.114328,-6.095675,0.51589,0.6052,0.2256
5,top_k,3,0.135355,-6.188175,0.506406,0.6052,0.2256
5,top_k,4,0.110355,-6.017359,0.459824,0.6052,0.2256
