seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate,rouge_l_recall
5,control,9,0.369321,-1.9597,0.725,0.05,0.0455
5,control,10,0.388177,-1.8541,0.6125,0.025,0.0494
5,oea_rag_only,0,0.0,-3.3608,0.525,0.125,0.1661
5,oea_rag_only,1,0.026744,-3.1369,0.5375,0.0125,0.1473
5,oea_rag_only,2,0.050143,-2.8946,0.7,0.0625,0.116
5,oea_rag_only,3,0.064376,-2.4797,0.6125,0.0375,0.0886
5,oea_rag_only,4,0.076342,-2.169,0.675,0.025,0.0596
5,oea_rag_only,5,0.114271,-2.1638,0.375,0.0375,0.0541
5,oea_rag_only,6,0.162972,-2.2605,0.575,0.05,0.0541
5,oea_rag_only,7,0.222683,-2.2358,0.525,0.0375,0.0525
5,oea_rag_only,8,0.281036,-1.9601,0.675,0.05,0.0572
5,oea_rag_only,9,0.307243,-1.8982,0.6625,0.0125,0.0533
5,oea_rag_only,10,0.310247,-1.8828,0.65,0.05,0.0525
5,oea_anchored,0,0.0,-3.3608,0.525,0.125,0.1661
5,oea_anchored,1,0.010226,-3.5002,0.5875,0.05,0.1552
5,oea_anchored,2,0.025212,-3.373,0.7125,0.025,0.1332
5,oea_anchored,3,0.042702,-3.0413,0.7,0.05,0.1136
5,oea_anchored,4,0.056963,-2.4533,0.4,0.0375,0.0846
5,oea_anchored,5,0.08008,-1.7032,0.25,0.025,0.0431
5,oea_anchored,6,0.138085,-0.9974,0.25,0.025,0.0266
5,oea_anchored,7,0.215734,-0.432,0.25,0.025,0.0086
5,oea_anchored,8,0.297018,-0.0828,0.25,0.025,0.0
5,oea_anchored,9,0.38398,-0.0828,0.25,0.025,0.0
5,oea_anchored,10,0.444809,-0.0828,0.25,0.025,0.0
5,oea_miscalibrated,0,0.0,-3.3608,0.525,0.125,0.1661
5,oea_miscalibrated,1,0.033421,-3.2444,0.625,0.1125,0.1442
5,oea_miscalibrated,2,0.060086,-2.9885,0.675,0.0875,0.1152
5,oea_miscalibrated,3,0.08403,-2.5801,0.675,0.0875,0.0854
5,oea_miscalibrated,4,0.102375,-2.3253,0.6,0.05,0.0556
5,oea_miscalibrated,5,0.146258,-2.2615,0.5125,0.0375,0.0517
5,oea_miscalibrated,6,0.203931,-2.2607,0.7,0.0375,0.0486
5,oea_miscalibrated,7,0.260444,-2.4595,0.825,0.1375,0.0525
5,oea_miscalibrated,8,0.312459,-2.4046,0.625,0.025,0.0541
5,oea_miscalibrated,9,0.325113,-2.4113,0.6375,0.075,0.0533
5,oea_miscalibrated,10,0.313595,-2.4452,0.65,0.0375,0.0517
6,control,0,0.0,-3.3608,0.525,0.125,0.1661
6,control,1,0.029096,-3.0191,0.4875,0.0375,0.1418
6,control,2,0.048256,-2.5812,0.6375,0.0625,0.1105
6,control,3,0.066627,-1.8691,0.625,0.025,0.0878
6,control,4,0.086436,-1.2287,0.35,0.025,0.0619
6,control,5,0.13633,-0.9339,0.625,0.0625,0.0603
6,control,6,0.210864,-0.4743,0.6375,0.025,0.058
6,control,7,0.279759,-0.4053,0.525,0.05,0.0556
6,control,8,0.361753,-0.2822,0.625,0.0625,0.0486
6,control,9,0.397226,-0.2525,0.6375,0.025,0.0486
6,control,10,0.429143,-0.2901,0.525,0.05,0.0486
6,oea_rag_only,0,0.0,-3.3608,0.525,0.125,0.1661
6,oea_rag_only,1,0.038336,-3.1961,0.675,0.05,0.145
6,oea_rag_only,2,0.076269,-2.7665,0.5875,0.05,0.1129
6,oea_rag_only,3,0.098178,-2.4194,0.55,0.05,0.0846
6,oea_rag_only,4,0.112674,-2.1449,0.4625,0.025,0.0556
6,oea_rag_only,5,0.162279,-1.8667,0.4375,0.05,0.047
6,oea_rag_only,6,0.225841,-1.9882,0.7125,0.0625,0.0486
6,oea_rag_only,7,0.295948,-1.8715,0.6375,0.0625,0.0431
6,oea_rag_only,8,0.349982,-1.8727,0.5125,0.05,0.0455
6,oea_rag_only,9,0.384526,-1.9998,0.5625,0.0625,0.0462
6,oea_rag_only,10,0.379539,-2.0622,0.575,0.0125,0.0462
6,oea_anchored,0,0.0,-3.3608,0.525,0.125,0.1661
6,oea_anchored,1,0.009533,-3.4913,0.85,0.0625,0.1505
6,oea_anchored,2,0.024737,-3.1151,0.775,0.1,0.1262
6,oea_anchored,3,0.042198,-2.7234,0.7375,0.0375,0.0995
6,oea_anchored,4,0.06343,-1.8978,0.7125,0.0625,0.069
6,oea_anchored,5,0.0868,-1.1746,0.75,0.0625,0.0415
6,oea_anchored,6,0.152353,-0.686,0.4125,0.0625,0.0376
6,oea_anchored,7,0.227429,-0.2933,0.75,0.0625,0.0361
6,oea_anchored,8,0.30576,-0.2175,0.4125,0.0625,0.0368
6,oea_anchored,9,0.386927,-0.2417,0.75,0.0625,0.0361
6,oea_anchored,10,0.43301,-0.2163,0.4125,0.0625,0.0368
6,oea_miscalibrated,0,0.0,-3.3608,0.525,0.125,0.1661
6,oea_miscalibrated,1,0.038336,-3.1961,0.675,0.05,0.145
6,oea_miscalibrated,2,0.071232,-2.9489,0.6375,0.0625,0.1152
6,oea_miscalibrated,3,0.090647,-2.5643,0.7,0.0625,0.0862
6,oea_miscalibrated,4,0.113527,-2.3484,0.6,0.0875,0.0509
6,oea_miscalibrated,5,0.164917,-2.2915,0.6125,0.0375,0.0439
6,oea_miscalibrated,6,0.227075,-2.4195,0.65,0.0375,0.0431
6,oea_miscalibrated,7,0.294556,-2.511,0.6125,0.0625,0.0462
6,oea_miscalibrated,8,0.356096,-2.3186,0.625,0.0625,0.0486
6,oea_miscalibrated,9,0.384426,-2.3431,0.525,0.075,0.0502
6,oea_miscalibrated,10,0.388643,-2.3421,0.45,0.075,0.0525
7,control,0,0.0,-3.3608,0.525,0.125,0.1661
7,control,1,0.030936,-3.1797,0.4625,0.0875,0.1458
7,control,2,0.05584,-2.9152,0.3625,0.05,0.123
7,control,3,0.080194,-2.4587,0.575,0.0375,0.0948
7,control,4,0.105609,-1.9555,0.575,0.0625,0.065
7,control,5,0.159001,-1.6852,0.525,0.0875,0.069
7,control,6,0.229812,-1.3103,0.5375,0.0625,0.0643
7,control,7,0.309951,-0.8271,0.5375,0.075,0.0627
7,control,8,0.39407,-0.6304,0.4875,0.0625,0.0611
7,control,9,0.449842,-0.5488,0.4875,0.0625,0.0643
7,control,10,0.476758,-0.4216,0.525,0.0625,0.0682
7,oea_rag_only,0,0.0,-3.3608,0.525,0.125,0.1661
7,oea_rag_only,1,0.040231,-3.2506,0.625,0.1125,0.145
7,oea_rag_only,2,0.070553,-2.9741,0.7375,0.05,0.1168
7,oea_rag_only,3,0.095259,-2.5023,0.5375,0.0375,0.0854
7,oea_rag_only,4,0.114557,-2.2131,0.6625,0.0375,0.0564
7,oea_rag_only,5,0.166728,-2.0303,0.5875,0.025,0.0455
7,oea_rag_only,6,0.233145,-1.7952,0.625,0.0625,0.0392
7,oea_rag_only,7,0.308329,-1.5581,0.6625,0.025,0.0447
7,oea_rag_only,8,0.378925,-1.1376,0.6375,0.05,0.0431
7,oea_rag_only,9,0.416546,-0.9587,0.6,0.025,0.0439
7,oea_rag_only,10,0.440465,-0.8051,0.65,0.0625,0.0478
7,oea_anchored,0,0.0,-3.3608,0.525,0.125,0.1661
7,oea_anchored,1,0.007142,-3.5519,0.7125,0.0625,0.1544
7,oea_anchored,2,0.007235,-3.5296,0.725,0.0625,0.1536
