seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate
7,oea_rag_only,4,0.104922,-2.1287,0.6875,0.1
7,oea_rag_only,5,0.149187,-2.0438,0.6875,0.0375
7,oea_rag_only,6,0.212442,-2.0708,0.4375,0.0375
7,oea_rag_only,7,0.27255,-2.065,0.7125,0.0625
7,oea_rag_only,8,0.33256,-1.9235,0.5625,0.1125
7,oea_rag_only,9,0.371261,-1.9731,0.525,0.0125
7,oea_rag_only,10,0.379861,-2.0584,0.5875,0.05
7,oea_anchored,0,0.0,-3.3591,0.65,0.05
7,oea_anchored,1,0.005573,-3.5504,0.75,0.05
7,oea_anchored,2,0.014893,-3.3954,0.8,0.05
7,oea_anchored,3,0.043517,-2.6779,0.225,0.025
7,oea_anchored,4,0.072949,-1.821,0.175,0.0
7,oea_anchored,5,0.100539,-1.1246,0.175,0.0
7,oea_anchored,6,0.175626,-0.297,0.175,0.0
7,oea_anchored,7,0.255407,-0.0673,0.175,0.0
7,oea_anchored,8,0.339467,-0.0673,0.175,0.0
7,oea_anchored,9,0.428945,-0.0673,0.175,0.0
7,oea_anchored,10,0.505079,-0.0673,0.175,0.0
7,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
7,oea_miscalibrated,1,0.039065,-3.2125,0.725,0.025
7,oea_miscalibrated,2,0.067144,-3.0514,0.5875,0.0375
7,oea_miscalibrated,3,0.088391,-2.7305,0.725,0.0375
7,oea_miscalibrated,4,0.11124,-2.4875,0.7,0.0375
7,oea_miscalibrated,5,0.159583,-2.489,0.6375,0.0625
7,oea_miscalibrated,6,0.172167,-2.5071,0.1125,0.025
7,oea_miscalibrated,7,0.234484,-2.5049,0.425,0.0375
7,oea_miscalibrated,8,0.293002,-2.4384,0.525,0.1125
7,oea_miscalibrated,9,0.350926,-2.3507,0.6125,0.0625
7,oea_miscalibrated,10,0.364704,-2.3159,0.375,0.05
8,control,0,0.0,-3.3591,0.65,0.05
8,control,1,0.028777,-3.1773,0.775,0.0875
8,control,2,0.05602,-2.9889,0.55,0.05
8,control,3,0.078964,-2.6141,0.45,0.05
8,control,4,0.09655,-2.2997,0.6625,0.05
8,control,5,0.137483,-2.2821,0.6875,0.025
8,control,6,0.195972,-2.3244,0.5375,0.0875
8,control,7,0.253766,-1.9033,0.425,0.05
8,control,8,0.316141,-1.4955,0.575,0.0375
8,control,9,0.357084,-1.1123,0.5625,0.0875
8,control,10,0.377931,-1.1275,0.375,0.0375
8,oea_rag_only,0,0.0,-3.3591,0.65,0.05
8,oea_rag_only,1,0.032087,-3.1933,0.6875,0.05
8,oea_rag_only,2,0.061786,-2.9836,0.775,0.0875
8,oea_rag_only,3,0.083668,-2.6892,0.5375,0.05
8,oea_rag_only,4,0.107189,-2.6834,0.6875,0.0625
8,oea_rag_only,5,0.151667,-2.4538,0.7375,0.0375
8,oea_rag_only,6,0.206473,-2.2696,0.8375,0.0375
8,oea_rag_only,7,0.267378,-2.2359,0.4875,0.0875
8,oea_rag_only,8,0.322697,-2.2982,0.6125,0.0875
8,oea_rag_only,9,0.355881,-2.3076,0.625,0.0375
8,oea_rag_only,10,0.372815,-2.4038,0.55,0.0375
8,oea_anchored,0,0.0,-3.3591,0.65,0.05
8,oea_anchored,1,0.005672,-3.6154,0.65,0.1125
8,oea_anchored,2,0.01388,-3.6014,0.8,0.0375
8,oea_anchored,3,0.035068,-3.6534,0.3875,0.0375
8,oea_anchored,4,0.059923,-2.8364,0.175,0.0
8,oea_anchored,5,0.085493,-1.9634,0.175,0.0
8,oea_anchored,6,0.143098,-1.1422,0.175,0.0
8,oea_anchored,7,0.22117,-0.4764,0.175,0.0
8,oea_anchored,8,0.304526,-0.0673,0.175,0.0
8,oea_anchored,9,0.385356,-0.0673,0.175,0.0
8,oea_anchored,10,0.457285,-0.0673,0.175,0.0
8,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
8,oea_miscalibrated,1,0.032087,-3.1933,0.6875,0.05
8,oea_miscalibrated,2,0.061786,-2.9836,0.775,0.0875
8,oea_miscalibrated,3,0.08293,-2.7037,0.725,0.05
8,oea_miscalibrated,4,0.100199,-2.6663,0.7375,0.05
8,oea_miscalibrated,5,0.147157,-2.6002,0.725,0.0375
8,oea_miscalibrated,6,0.20526,-2.582,0.6625,0.0625
8,oea_miscalibrated,7,0.263613,-2.5785,0.7625,0.0375
8,oea_miscalibrated,8,0.316258,-2.6318,0.6375,0.0875
8,oea_miscalibrated,9,0.346085,-2.688,0.6,0.05
8,oea_miscalibrated,10,0.372062,-2.7959,0.525,0.0625
9,control,0,0.0,-3.3591,0.65,0.05
9,control,1,0.025252,-3.0972,0.675,0.0875
9,control,2,0.04685,-2.7846,0.675,0.0625
9,control,3,0.062261,-2.3792,0.75,0.05
9,control,4,0.078474,-2.0593,0.6,0.0875
9,control,5,0.124071,-1.9819,0.65,0.0625
9,control,6,0.185615,-1.9374,0.725,0.0375
9,control,7,0.245518,-1.9291,0.1625,0.0
9,control,8,0.296051,-2.1701,0.5125,0.05
9,control,9,0.323223,-2.2362,0.6375,0.0375
9,control,10,0.333329,-2.3014,0.675,0.1
9,oea_rag_only,0,0.0,-3.3591,0.65,0.05
9,oea_rag_only,1,0.025815,-3.107,0.75,0.0625
9,oea_rag_only,2,0.04977,-2.8999,0.5,0.0625
9,oea_rag_only,3,0.072564,-2.526,0.35,0.025
9,oea_rag_only,4,0.089335,-2.2499,0.675,0.075
9,oea_rag_only,5,0.127423,-2.2362,0.6625,0.0375
9,oea_rag_only,6,0.176838,-2.2695,0.6625,0.075
9,oea_rag_only,7,0.231684,-2.4835,0.6625,0.075
9,oea_rag_only,8,0.280544,-2.648,0.7625,0.075
9,oea_rag_only,9,0.308897,-2.6279,0.65,0.1
9,oea_rag_only,10,0.315592,-2.5953,0.8375,0.05
9,oea_anchored,0,0.0,-3.3591,0.65,0.05
9,oea_anchored,1,0.008135,-3.4157,0.5,0.0625
9,oea_anchored,2,0.023694,-2.9084,0.7625,0.025
9,oea_anchored,3,0.039132,-2.3685,0.75,0.0625
9,oea_anchored,4,0.046522,-1.9271,0.675,0.075
9,oea_anchored,5,0.058186,-1.4308,0.175,0.025
9,oea_anchored,6,0.114389,-1.0584,0.55,0.025
9,oea_anchored,7,0.175587,-0.7827,0.7625,0.05
9,oea_anchored,8,0.249589,-0.4907,0.4375,0.05
9,oea_anchored,9,0.322959,-0.1591,0.7125,0.0375
9,oea_anchored,10,0.358891,-0.1687,0.45,0.025
9,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
9,oea_miscalibrated,1,0.032989,-3.2152,0.6375,0.0625
9,oea_miscalibrated,2,0.057625,-3.0224,0.775,0.0875
9,oea_miscalibrated,3,0.075571,-2.8295,0.55,0.1125
9,oea_miscalibrated,4,0.090142,-2.6823,0.7375,0.075
9,oea_miscalibrated,5,0.125404,-2.4098,0.75,0.0375
9,oea_miscalibrated,6,0.172897,-2.4311,0.7,0.0375
9,oea_miscalibrated,7,0.229004,-2.4235,0.725,0.0625
9,oea_miscalibrated,8,0.282751,-2.4958,0.75,0.075
9,oea_miscalibrated,9,0.311867,-2.4687,0.625,0.075
9,oea_miscalibrated,10,0.311739,-2.5297,0.6875,0.0875
